Entry	Entry name	Gene names	Organism	Post-translational modification	3D	Cross-reference (EMBL)	Cross-reference (GenBank)	Cross-reference (GeneID)	Taxonomic lineage (all)
P68085	MYG_SEMEN	MB	Semnopithecus entellus (Hanuman langur) (Presbytis entellus)						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Colobinae, Semnopithecus, Semnopithecus entellus (Hanuman langur) (Presbytis entellus)
P02144	MYG_HUMAN	MB	Homo sapiens (Human)		X-ray crystallography (1)	X00371;X00372;X00373;M14603;M10090;M14602;CR456516;CR541949;DQ003030;AL022334;AL049747;BC014547;		4151;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)
P02166	MYG_PERPO	MB	Perodicticus potto edwarsi (Potto)						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Strepsirrhini (prosimians), Lorisiformes, Lorisidae (lorises), Perodicticus, Perodicticus potto (potto), Perodicticus potto edwarsi (Potto)
P02145	MYG_PANTR	MB	Pan troglodytes (Chimpanzee)						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Pan (chimpanzees), Pan troglodytes (Chimpanzee)
P02150	MYG_MACFA	MB	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)					102132612;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Macaca (macaques), Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
P68084	MYG_PAPAN	MB	Papio anubis (Olive baboon)					101002149;	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Papio (baboons), Papio anubis (Olive baboon)
P02147	MYG_GORBE	MB	Gorilla gorilla beringei (Mountain gorilla) (Highland gorilla)						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Gorilla, Gorilla gorilla beringei (Mountain gorilla) (Highland gorilla)
P20856	MYG_CTEGU	MB	Ctenodactylus gundi (Northern gundi)						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Hystricomorpha, Ctenodactylidae (gundis), Ctenodactylus, Ctenodactylus gundi (Northern gundi)
P68086	MYG_ERYPA	MB	Erythrocebus patas (Red guenon) (Cercopithecus patas)						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae (Old World monkeys), Cercopithecinae, Erythrocebus, Erythrocebus patas (Red guenon) (Cercopithecus patas)
P02165	MYG_TUPGL	MB	Tupaia glis (Tree shrew) (Sorex glis)						cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Scandentia (tree shrews), Tupaiidae (tree shrews), Tupaia, Tupaia glis (Tree shrew) (Sorex glis)
